Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,U6a7a1,292,36,53,53,67.925
Contig.1,M7c1a1,292,31,47,47,65.957
Contig.1,U5a2a2,292,39,52,52,75.000
Contig.1,L0k2a1,292,3,48,48,6.250
Contig.1,U4a3a,292,36,55,55,65.455
Contig.1,C4a2a1a,292,31,58,58,53.448
Contig.1,L3e2a1b3,292,31,42,42,73.810
Contig.1,H59,292,38,44,44,86.364
Contig.1,L3e2a1b1,292,31,42,42,73.810
Contig.1,A2p,292,33,47,47,70.213
Contig.1,B5b1a2a,292,35,58,58,60.345
Contig.1,M43a1,292,32,46,46,69.565
Contig.1,H3b_16129!,292,38,44,44,86.364
Contig.1,B4j,292,36,50,50,72.000
Contig.1,L3d1a1a1,292,30,48,48,62.500
Contig.1,D4j10,292,33,45,45,73.333
Contig.1,D4j11,292,32,45,45,71.111
Contig.1,D4j12,292,33,47,47,70.213
Contig.1,D4j13,292,32,46,46,69.565
Contig.1,L2c2b,292,23,49,49,46.939
Contig.1,D4j15,292,33,45,45,73.333
Contig.1,D4j16,292,33,46,46,71.739
Contig.1,L2c2a,292,23,49,49,46.939
Contig.1,T1a2,292,50,54,54,92.593
Contig.1,Z,292,32,48,48,66.667
Contig.1,L2a2b1a,292,21,46,46,45.652
Contig.1,J2a2a1a,292,38,56,56,67.857
Contig.1,L2a,292,22,31,31,70.968
Contig.1,N9b4,292,35,41,41,85.366
Contig.1,L2c,292,23,46,46,50.000
Contig.1,L2b,292,21,53,53,39.623
Contig.1,L2e,292,23,56,56,41.071
Contig.1,R0a2a,292,40,50,50,80.000
Contig.1,N9b3,292,36,42,42,85.714
Contig.1,M12'G,292,32,38,38,84.211
Contig.1,R0a2l,292,40,52,52,76.923
Contig.1,R0a4,292,40,50,50,80.000
Contig.1,L3e1a3b,292,33,50,50,66.000
Contig.1,J1c11a,292,42,51,51,82.353
Contig.1,R0a1,292,40,47,47,85.106
Contig.1,R0a2i,292,40,52,52,76.923
Contig.1,R0a2j,292,38,48,48,79.167
Contig.1,R0a2,292,40,49,49,81.633
Contig.1,B4b1a,292,37,47,47,78.723
Contig.1,H1n6,292,39,48,48,81.250
Contig.1,H7a1b,292,38,47,47,80.851
Contig.1,H7a1c,292,38,47,47,80.851
Contig.1,U4d1,292,37,52,52,71.154
Contig.1,H7a1a,292,38,48,48,79.167
Contig.1,N1a1a1a1,292,34,52,52,65.385
Contig.1,H91,292,37,43,43,86.047
Contig.1,H7a1d,292,38,47,47,80.851
Contig.1,C5a2b,292,30,52,52,57.692
Contig.1,J1c2l,292,42,53,53,79.245
Contig.1,J1c2o,292,42,51,51,82.353
Contig.1,C5a2a,292,31,54,54,57.407
Contig.1,J1c2i,292,42,55,55,76.364
Contig.1,J1c2h,292,42,51,51,82.353
Contig.1,J1c2k,292,42,51,51,82.353
Contig.1,J1c2j,292,42,53,53,79.245
Contig.1,L0d2c,292,2,44,44,4.545
Contig.1,L0d2b,292,3,38,38,7.895
Contig.1,L0d2a,292,2,36,36,5.556
Contig.1,J1c2f,292,42,51,51,82.353
Contig.1,J1c2a,292,42,51,51,82.353
Contig.1,E1a2a,292,31,50,50,62.000
Contig.1,J1c2c,292,43,53,53,81.132
Contig.1,L0d2d,292,3,46,46,6.522
Contig.1,M62b1a,292,33,56,56,58.929
Contig.1,U5a1a2b,292,37,50,50,74.000
Contig.1,D5b1c1a,292,30,54,54,55.556
Contig.1,H1ak2,292,39,46,46,84.783
Contig.1,J1c2t,292,42,51,51,82.353
Contig.1,H1ak1,292,39,46,46,84.783
Contig.1,J1c2q,292,42,52,52,80.769
Contig.1,J1c2p,292,42,51,51,82.353
Contig.1,J1c2s,292,42,51,51,82.353
Contig.1,J1c2r,292,42,54,54,77.778
Contig.1,M51a1a,292,31,52,52,59.615
Contig.1,L0a2,292,6,42,42,14.286
Contig.1,L0a1,292,4,37,37,10.811
Contig.1,H4d,292,38,47,47,80.851
Contig.1,H4c,292,38,47,47,80.851
Contig.1,H4b,292,38,47,47,80.851
Contig.1,H4a,292,38,48,48,79.167
Contig.1,L0a4,292,7,52,52,13.462
Contig.1,U7b2,292,37,54,54,68.519
Contig.1,D4a2b,292,31,46,46,67.391
